method,seed,test_fold,reported_mcc,oracle_mcc,gap,cal_method,calibrated_mcc,oracle_recovery
E4.1_lycos_ids2017,0,unsw_nb15,-0.009613264056724417,0.2134359774114597,0.2230492414681841,gmm,0.1848036100510008,0.8716320792126834
E4.1_lycos_ids2017,0,unsw_nb15,-0.009613264056724417,0.2134359774114597,0.2230492414681841,topk10,-0.13171478915632687,-0.5474195935206491
E4.1_lycos_ids2017,0,unsw_nb15,-0.009613264056724417,0.2134359774114597,0.2230492414681841,topk20,-0.19924193967828932,-0.8501650773316513
E4.1_lycos_ids2017,0,unsw_nb15,-0.009613264056724417,0.2134359774114597,0.2230492414681841,topk30,-0.24794827416057222,-1.0685309151246052
E4.1_lycos_ids2017,0,unsw_nb15,-0.009613264056724417,0.2134359774114597,0.2230492414681841,topk40,-0.059415274758061416,-0.2232780993717963
E4.1_lycos_ids2017,0,unsw_nb15,-0.009613264056724417,0.2134359774114597,0.2230492414681841,prevalence_transfer,-0.15088678870963423,-0.6333737058373327
E1.C,0,unsw_nb15,-0.021840080096317875,0.1492030672840227,0.17104314738034057,otsu,-0.025948750163863672,-0.024021249202165005
E1.C,0,unsw_nb15,-0.021840080096317875,0.1492030672840227,0.17104314738034057,gmm,-0.02719748503605302,-0.03132195017332168
E1.C,0,unsw_nb15,-0.021840080096317875,0.1492030672840227,0.17104314738034057,topk10,0.14420626466055328,0.9707863033392489
E1.C,0,unsw_nb15,-0.021840080096317875,0.1492030672840227,0.17104314738034057,topk20,0.08794034095269185,0.6418288176426981
E1.C,0,unsw_nb15,-0.021840080096317875,0.1492030672840227,0.17104314738034057,topk30,0.03597091955911983,0.337990738248555
E1.C,0,unsw_nb15,-0.021840080096317875,0.1492030672840227,0.17104314738034057,topk40,-0.007317507416263727,0.08490590182932609
E1.C,0,unsw_nb15,-0.021840080096317875,0.1492030672840227,0.17104314738034057,prevalence_transfer,0.13110443204098296,0.8941867270321292
E5.0_dann,2,lycos_ids2017,-0.2763494678430158,0.19977417274750245,0.47612364059051826,otsu,-0.3000587050404435,-0.049796387274578635
E5.0_dann,2,lycos_ids2017,-0.2763494678430158,0.19977417274750245,0.47612364059051826,gmm,-0.33670323745620884,-0.12676070765639474
E5.0_dann,2,lycos_ids2017,-0.2763494678430158,0.19977417274750245,0.47612364059051826,topk10,-0.18786856055794746,0.18583598826415926
E5.0_dann,2,lycos_ids2017,-0.2763494678430158,0.19977417274750245,0.47612364059051826,topk20,-0.28098821978704963,-0.009742746523320241
E5.0_dann,2,lycos_ids2017,-0.2763494678430158,0.19977417274750245,0.47612364059051826,topk30,-0.23643324173369806,0.08383584158898542
E5.0_dann,2,lycos_ids2017,-0.2763494678430158,0.19977417274750245,0.47612364059051826,topk40,-0.2848378370733341,-0.017828077639225202
E5.0_dann,2,lycos_ids2017,-0.2763494678430158,0.19977417274750245,0.47612364059051826,prevalence_transfer,-0.2807560201477398,-0.009255058831480728
E6.1_anomal_e,2,unsw_nb15,0.3821418278618187,0.5303830543648811,0.14824122650306237,otsu,0.44171231645769127,0.40184832520015573
E6.1_anomal_e,2,unsw_nb15,0.3821418278618187,0.5303830543648811,0.14824122650306237,gmm,0.40516813026357656,0.15532995068198635
E6.1_anomal_e,2,unsw_nb15,0.3821418278618187,0.5303830543648811,0.14824122650306237,topk10,0.4684518393872366,0.5822267770000871
E6.1_anomal_e,2,unsw_nb15,0.3821418278618187,0.5303830543648811,0.14824122650306237,topk20,0.5246441538791781,0.9612867444429538
E6.1_anomal_e,2,unsw_nb15,0.3821418278618187,0.5303830543648811,0.14824122650306237,topk30,0.4212771869359026,0.26399780949785534
E6.1_anomal_e,2,unsw_nb15,0.3821418278618187,0.5303830543648811,0.14824122650306237,topk40,0.3699541652131807,-0.08221506888561966
E6.1_anomal_e,2,unsw_nb15,0.3821418278618187,0.5303830543648811,0.14824122650306237,prevalence_transfer,0.5078199858217788,0.8477949145770445
E4.1_cic_ids2018,0,lycos_ids2017,0.08449133266620709,0.1862112818020128,0.1017199491358057,otsu,0.021315288539224632,-0.6210782119310393
E4.1_cic_ids2018,0,lycos_ids2017,0.08449133266620709,0.1862112818020128,0.1017199491358057,gmm,-0.09516091366638625,-1.7661456563720919
