method,seed,test_fold,n_edges,prevalence,reported_mcc,oracle_mcc,gap,auroc,auprc,pred_pos_rate_at_05,true_pos_rate_at_05,optimal_threshold,reported_threshold
E4.3_graphstats,0,lycos_ids2017,1837486,0.24044972315435328,-0.11096913275734453,0.05878501468258182,0.16975414743992634,0.3827021999185868,0.1828007738485588,0.07431566825543161,0.07307731739824538,1.3528040666843655e-11,0.5
E4.3_graphstats,0,unsw_nb15,2538252,0.1258692990294108,-0.12789435234023924,0.0072317930511203365,0.1351261453913596,0.2611166476476484,0.08005404770628433,0.15368883783012877,0.026318825124775378,5.583887688122889e-18,0.5
E5.0_dann,1,cic_ids2018,8392401,0.12144355351942787,0.4951009651321379,0.5088041636311728,0.013703198499034841,0.7770315095317217,0.22398040058299973,0.3170279875806697,0.3588095433180011,0.5867713093757629,0.5
E5.0_dann,1,lycos_ids2017,1837486,0.24044972315435328,-0.17843147533816037,0.13171121144317635,0.3101426867813367,0.23052309080979758,0.16794450383768447,0.2968746428544217,0.12309739818112825,0.0026026626583188772,0.5
E5.0_dann,1,unsw_nb15,2538252,0.1258692990294108,0.2473481149474873,0.6382700244367296,0.3909219094892423,0.8256602773970608,0.6905731047317603,0.4784292497356448,0.21153450255028516,0.874494731426239,0.5
E5.0_dann,2,cic_ids2018,8392401,0.12144355351942787,0.5344330578652979,0.5651812829473924,0.030748225082094516,0.8430032954795434,0.3040445601903058,0.286024345118876,0.3972507437206068,0.6448498368263245,0.5
E5.0_dann,2,lycos_ids2017,1837486,0.24044972315435328,-0.2763494678430158,0.19977417274750245,0.47612364059051826,0.24204014188012718,0.16276805243434558,0.3919931906964189,0.09336620934578402,0.008999255485832691,0.5
E5.0_dann,2,unsw_nb15,2538252,0.1258692990294108,0.2517014899406095,0.6938140301387836,0.44211254019817414,0.8396409529367793,0.6847001651280124,0.488111503507138,0.21136849751805964,0.9141238927841187,0.5
E5.1_dann_no_grl,0,cic_ids2018,8392401,0.12144355351942787,0.5393726502974693,0.6532371543065749,0.11386450400910564,0.8958441431508563,0.4075535009339151,0.28023160475768494,0.40380072250550214,0.6432489156723022,0.5
E5.1_dann_no_grl,0,lycos_ids2017,1837486,0.24044972315435328,-0.1759371092602239,0.04207274628424415,0.21800985554446806,0.2022191259809858,0.1580866969558727,0.2947407490451628,0.1241437123094933,0.0036861186381429434,0.5
E5.1_dann_no_grl,0,unsw_nb15,2538252,0.1258692990294108,0.2691330389033604,0.5466847378785294,0.27755169897516907,0.7958154615118522,0.3232958969567235,0.5090018642750995,0.21354824977263492,0.6100634932518005,0.5
E5.2_source_gated,0,cic_ids2018,8392401,0.12144355351942787,0.46557935845853565,0.5274747478283559,0.06189538936982025,0.8722261303535596,0.39394010932800144,0.15372394622230276,0.4782650822059773,0.42732658982276917,0.5
E5.2_source_gated,0,lycos_ids2017,1837486,0.24044972315435328,-0.18534034805207955,0.059383938497912576,0.24472428654999212,0.2856734307173816,0.16841622638767445,0.3171801036851437,0.12423517623118181,1.0413280904231215e-07,0.5
E5.2_source_gated,0,unsw_nb15,2538252,0.1258692990294108,0.416237256943388,0.7442513394155946,0.32801408247220665,0.8787009700198951,0.7983667638209176,0.3329346337558288,0.321300433572524,0.867656409740448,0.5
E5.3_cdan,0,cic_ids2018,8392401,0.12144355351942787,0.5349302563472623,0.5880987839376981,0.05316852759043578,0.8646135994696561,0.3391483497030791,0.28614695603796814,0.39742448343924114,0.5760838389396667,0.5
E5.3_cdan,0,lycos_ids2017,1837486,0.24044972315435328,-0.29812063545556095,0.13171121144317635,0.4298318468987373,0.17813339771138448,0.15276118959241955,0.41290491464968987,0.08853088214554498,0.0067375823855400085,0.5
E5.3_cdan,0,unsw_nb15,2538252,0.1258692990294108,0.1954958722892601,0.21366999978625806,0.018174127496997955,0.527385660758679,0.12711325407631277,0.5187380921988833,0.18832935365097883,0.5623548626899719,0.5
E5.4_dropedge_p20_dann,0,cic_ids2018,8392401,0.12144355351942787,0.5009364555917057,0.5921620407374796,0.09122558514577384,0.8712586981530003,0.34599494443425477,0.3123935569808926,0.3642016041303993,0.5587995648384094,0.5
E5.4_dropedge_p20_dann,0,lycos_ids2017,1837486,0.24044972315435328,-0.215229854454892,0.16364994719242637,0.3788798016473184,0.260519272254089,0.16625640514244547,0.33219300718481665,0.11003604193971167,0.01261739619076252,0.5
E5.4_dropedge_p20_dann,0,unsw_nb15,2538252,0.1258692990294108,0.2596230726422756,0.6993809424742519,0.4397578698319763,0.81895245797253,0.7399025177388082,0.44290243837097343,0.2224528063561757,0.7532744407653809,0.5
E5.4_dropedge_p50_dann,0,cic_ids2018,8392401,0.12144355351942787,0.4936100210041892,0.5089252771642765,0.015315256160087276,0.7812849630813743,0.22615006674688992,0.318503846515437,0.3572905770718575,0.5872861742973328,0.5
E5.4_dropedge_p50_dann,0,lycos_ids2017,1837486,0.24044972315435328,-0.16292671080042578,0.23635790771273393,0.3992846185131597,0.3578260287171566,0.19276601445678332,0.28233575657175075,0.1294401566728606,0.0054977694526314735,0.5
